City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Selfoss,IS,2022-10-05 19:31:14,63.9331,-20.9971,42.04,77,100,7.43
280,Vilyuysk,RU,2022-10-05 19:32:14,63.7553,121.6247,29.1,97,100,5.59
281,Bengkulu,ID,2022-10-05 19:32:15,-3.8004,102.2655,76.1,84,100,3.15
282,Saint-Denis,FR,2022-10-05 19:32:16,48.9167,2.3333,67.23,78,100,23.02
283,Aykhal,RU,2022-10-05 19:32:17,66.0,111.5,22.73,96,99,8.14
284,Mpika,ZM,2022-10-05 19:32:17,-11.8343,31.4529,65.16,32,5,6.44
285,Chicama,PE,2022-10-05 19:32:18,-7.8447,-79.1469,63.14,60,100,10.65
286,Owando,CG,2022-10-05 19:32:19,-0.4819,15.8999,75.88,81,89,3.27
287,Kabinda,CD,2022-10-05 19:32:20,-6.1333,24.4833,68.81,83,51,2.55
288,Baruun-Urt,MN,2022-10-05 19:32:20,46.6806,113.2792,25.97,47,13,6.85
289,Asyut,EG,2022-10-05 19:32:21,27.181,31.1837,80.78,32,0,8.16
290,Petropavlovsk-Kamchatskiy,RU,2022-10-05 19:31:10,53.0452,158.6483,34.39,93,40,2.24
291,Villa Carlos Paz,AR,2022-10-05 19:28:18,-31.4241,-64.4978,54.9,48,100,11.01
292,Cherepovets,RU,2022-10-05 19:32:23,59.1333,37.9,44.42,100,40,4.47
