City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
644,Fort-Shevchenko,KZ,63.88,scattered clouds,44.5086,50.263000000000005,Oasis hotel Bautino
645,North Platte,US,75.11,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
647,Champerico,GT,75.74,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
648,Amalapuram,IN,75.76,overcast clouds,16.5833,82.0167,swayamprabha service apartments
649,Jiangyou,CN,56.25,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
650,Ballina,AU,65.79,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
652,Shetpe,KZ,60.84,scattered clouds,44.1667,52.1167,Нұрберген Абыл
653,Chavakkad,IN,75.9,overcast clouds,10.5333,76.05,Rajah Island
654,Faya,SA,60.91,clear sky,18.3851,42.4509,شيلة نسايم
655,Ormara,PK,78.87,clear sky,25.2088,64.6357,Kenara Colony House for Rent
656,Macomb,US,71.78,clear sky,40.4592,-90.6718,Hampton Inn Macomb
657,Milledgeville,US,66.69,clear sky,33.0801,-83.2321,Hampton Inn Milledgeville
658,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
659,Gimli,CA,60.82,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
660,Santa Elena,EC,67.55,overcast clouds,-2.2333,-80.85,HOTEL CISNE II
661,Rodgau,DE,59.36,overcast clouds,50.0263,8.8859,Hotel Restaurant Wolfschlucht Eventlocation Rodgau - Frankfurt
662,Batemans Bay,AU,58.1,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
664,Ankazoabo,MG,70.21,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
666,Katsuura,JP,71.62,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
667,Dicabisagan,PH,77.81,heavy intensity rain,17.0818,122.4157,Nancy Montanes Bernardo
668,Tianpeng,CN,55.87,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
669,Balikpapan,ID,76.19,light rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
670,Maragogi,BR,77.68,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
671,Qui Nhon,VN,78.78,overcast clouds,13.7667,109.2333,Seagull Hotel
672,Athabasca,CA,52.21,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
673,Rayachoti,IN,71.82,overcast clouds,14.05,78.75,Swetha lodge
675,Ubatuba,BR,70.72,overcast clouds,-23.4339,-45.0711,Hotel Coquille
676,Cap Malheureux,MU,69.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
677,Laem Sing,TH,78.06,overcast clouds,12.4816,102.0738,Laem Sing Whitehouse Resort
679,Qiongshan,CN,75.18,clear sky,20.0058,110.3542,Sun City Restaurant
680,Hamada,JP,59.72,overcast clouds,34.8833,132.0833,Shimane Hamada Washington Hotel Plaza
681,Da Nang,VN,78.78,broken clouds,16.0678,108.2208,Grand Mercure Danang
682,Pueblo,US,75.96,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
